央视频道,#genre#
CCTV-1综合,https://cntv.sbs/tv?auth=231013&id=cctv1
CCTV-2财经,https://cntv.sbs/tv?auth=231013&id=cctv2
CCTV-3综艺,https://cntv.sbs/tv?auth=231013&id=cctv3
CCTV-4中文国际,https://cntv.sbs/tv?auth=231013&id=cctv4
CCTV-5体育,https://cntv.sbs/tv?auth=231013&id=cctv5
CCTV-5+体育赛事,https://cntv.sbs/tv?auth=231013&id=cctv5p
CCTV-6电影,https://cntv.sbs/tv?auth=231013&id=cctv6
CCTV-7国防军事,https://cntv.sbs/tv?auth=231013&id=cctv7
CCTV-8电视剧,https://cntv.sbs/tv?auth=231013&id=cctv8
CCTV-9纪录,https://cntv.sbs/tv?auth=231013&id=cctv9
CCTV-10科教,https://cntv.sbs/tv?auth=231013&id=cctv10
CCTV-11戏曲,https://cntv.sbs/tv?auth=231013&id=cctv11
CCTV-12社会与法,https://cntv.sbs/tv?auth=231013&id=cctv12
CCTV-13新闻,https://cntv.sbs/tv?auth=231013&id=cctv13
CCTV-14少儿,https://cntv.sbs/tv?auth=231013&id=cctv14
CCTV-15音乐,https://cntv.sbs/tv?auth=231013&id=cctv15
CCTV-16奥林匹克,https://cntv.sbs/tv?auth=231013&id=cctv16
CCTV-17农业农村,https://cntv.sbs/tv?auth=231013&id=cctv17
CCTV-4K超高清,https://cntv.sbs/tv?auth=231013&id=cctv4k
CCTV-164K,https://cntv.sbs/tv?auth=231013&id=cctv164k

CCTV-1综合,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001022/index.m3u8
CCTV-2财经,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001220/index.m3u8
CCTV-3综艺,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001186/index.m3u8
CCTV-4中文国际,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001221/index.m3u8
CCTV-5体育,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001187/index.m3u8
CCTV-5+体育赛事,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001334/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-6电影,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001188/index.m3u8
CCTV-7国防军事,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001236/index.m3u8
CCTV-8电视剧,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001189/index.m3u8
CCTV-9记录,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001237/index.m3u8
CCTV-10科教,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001238/index.m3u8
CCTV-11戏曲,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001309/index.m3u8
CCTV-12社会与法,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001239/index.m3u8
CCTV-13新闻,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001328/index.m3u8
CCTV-14少儿,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001240/index.m3u8
CCTV-15音乐,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001338/index.m3u8
CCTV-16奥林匹克,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001258/index.m3u8
CCTV-17农业农村,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001241/index.m3u8

CCTV-1综合,https://cntv.sbs/tv?auth=2310201855&id=cctv1
CCTV-2财经,https://cntv.sbs/tv?auth=2310201855&id=cctv2
CCTV-3综艺,https://cntv.sbs/tv?auth=2310201855&id=cctv3
CCTV-4中文国际,https://cntv.sbs/tv?auth=2310201855&id=cctv4
CCTV-5体育,https://cntv.sbs/tv?auth=2310201855&id=cctv5
CCTV-5+体育赛事,https://cntv.sbs/tv?auth=2310201855&id=cctv5p
CCTV-6电影,https://cntv.sbs/tv?auth=2310201855&id=cctv6
CCTV-7国防军事,https://cntv.sbs/tv?auth=2310201855&id=cctv7
CCTV-8电视剧,https://cntv.sbs/tv?auth=2310201855&id=cctv8
CCTV-9纪录,https://cntv.sbs/tv?auth=2310201855&id=cctv9
CCTV-10科教,https://cntv.sbs/tv?auth=2310201855&id=cctv10
CCTV-11戏曲,https://cntv.sbs/tv?auth=2310201855&id=cctv11
CCTV-12社会与法,https://cntv.sbs/tv?auth=2310201855&id=cctv12
CCTV-13新闻,https://cntv.sbs/tv?auth=2310201855&id=cctv13
CCTV-14少儿,https://cntv.sbs/tv?auth=2310201855&id=cctv14
CCTV-15音乐,https://cntv.sbs/tv?auth=2310201855&id=cctv15
CCTV-16奥林匹克,https://cntv.sbs/tv?auth=2310201855&id=cctv16
CCTV-17农业农村,https://cntv.sbs/tv?auth=2310201855&id=cctv17
CCTV-4K超高清,https://cntv.sbs/tv?auth=2310201855&id=cctv4k
CCTV-164K,https://cntv.sbs/tv?auth=2310201855&id=cctv164k

CCTV-1综合,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001022/index.m3u8
CCTV-2财经,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001220/index.m3u8
CCTV-3综艺,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001186/index.m3u8
CCTV-4中文国际,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001221/index.m3u8
CCTV-5体育,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001187/index.m3u8
CCTV-5+体育赛事,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001334/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-6电影,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001188/index.m3u8
CCTV-7国防军事,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001236/index.m3u8
CCTV-8电视剧,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001189/index.m3u8
CCTV-9纪录,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001237/index.m3u8
CCTV-10科教,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001238/index.m3u8
CCTV-11戏曲,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001309/index.m3u8
CCTV-12社会与法,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001239/index.m3u8
CCTV-13新闻,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001328/index.m3u8
CCTV-14少儿,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001240/index.m3u8
CCTV-15音乐,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001338/index.m3u8
CCTV-16奥林匹克,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001258/index.m3u8
CCTV-17农业农村,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001241/index.m3u8


卫视频道,#genre#
北京卫视,https://cntv.sbs/tv?auth=231013&id=bjws
东方卫视,https://cntv.sbs/tv?auth=231013&id=dfws
天津卫视,https://cntv.sbs/tv?auth=231013&id=tjws
重庆卫视,https://cntv.sbs/tv?auth=231013&id=cqws
黑龙江卫视,https://cntv.sbs/tv?auth=231013&id=hljws
吉林卫视,https://cntv.sbs/tv?auth=231013&id=jlws
辽宁卫视,https://cntv.sbs/tv?auth=231013&id=lnws
内蒙古卫视,https://cntv.sbs/tv?auth=231013&id=nmws
宁夏卫视,https://cntv.sbs/tv?auth=231013&id=nxws
甘肃卫视,https://cntv.sbs/tv?auth=231013&id=gsws
青海卫视,https://cntv.sbs/tv?auth=231013&id=qhws
陕西卫视,https://cntv.sbs/tv?auth=231013&id=sxws
河北卫视,https://cntv.sbs/tv?auth=231013&id=hbws
山西卫视,https://cntv.sbs/tv?auth=231013&id=sxiws
山东卫视,https://cntv.sbs/tv?auth=231013&id=sdws
安徽卫视,https://cntv.sbs/tv?auth=231013&id=ahws
河南卫视,https://cntv.sbs/tv?auth=231013&id=hnws
湖北卫视,https://cntv.sbs/tv?auth=231013&id=hubws
湖南卫视,https://cntv.sbs/tv?auth=231013&id=hunws
江西卫视,https://cntv.sbs/tv?auth=231013&id=jxws
